Year,NSW,QLD,VIC,SA,WA,Jun_SOI,Jul_SOI,Aug_SOI,Jun_NiNO3.4,Jul_NiNO3.4,Aug_NiNO3.4,Jun_MEI,Jul_MEI,Aug_MEI,Jun_phase,Jul_phase,Aug_phase,Jan_SOI,Feb_SOI,Mar_SOI,Apr_SOI,May_SOI,Jan_phase,Feb_phase,Mar_phase,Apr_phase,May_phase
1900,-59.87,-42.57,-73.68,-30.21,-6.19,21.9,9.3,7.5,28.45,27.97,27.65,1.653,1.361,0.688,phase4,phase2,phase2,-7.9,-7.6,-23.3,-16.9,-6.3,phase5,phase1,phase3,phase1,phase1
1901,-41.13,-38.63,-10.1,-17.06,-7.04,16.3,3.6,9.4,27.43,26.93,26.5,-0.062,-0.112,0.074,phase4,phase2,phase4,-0.8,2.2,7.4,3.5,0.3,phase4,phase5,phase4,phase2,phase5
1902,-26.46,-40.17,-68.84,-0.01,13.91,1.7,1.4,-8.2,28.45,28.67,28.09,1.519,1.917,1.591,phase2,phase5,phase3,16.5,-3.2,9.4,6.5,7.7,phase4,phase3,phase4,phase2,phase2
1903,56.11,44.65,58.84,24.43,-4.21,-1.1,5.7,0.3,27.98,26.74,26.55,-0.397,-0.46,-0.657,phase3,phase4,phase5,-9.9,-11.6,14.6,15.2,7.7,phase5,phase1,phase4,phase2,phase2
1904,-23.97,0.15,-25.79,9.6,27.61,-6.7,-8.2,0.9,27.83,27.98,27.42,-0.208,0.3,0.657,phase3,phase5,phase4,13.6,16,7.4,27.7,9.2,phase2,phase2,phase2,phase4,phase2
1905,-52.04,-31.35,-2.86,-24.96,-7.66,-27.7,-19.8,-7,28.28,28.05,27.92,1.457,1.954,1.869,phase1,phase1,phase1,-9.9,-18.5,-27.7,-38.2,-34.3,phase3,phase3,phase1,phase1,phase1
1906,57.75,100.76,63.01,15.59,-2.36,-3.9,6.3,14.8,27.83,26.73,26.51,0.169,-0.28,-0.492,phase3,phase4,phase4,-4.1,-8.6,-4.3,-6.2,4.3,phase1,phase5,phase1,phase5,phase4
1907,-42.66,-6.71,-68.88,-4.8,-16.67,-2.9,-5.1,-4.2,27.28,26.68,26.22,-0.923,-0.511,-0.008,phase5,phase5,phase5,2.6,-2.8,2.3,-3.3,-5,phase5,phase5,phase4,phase5,phase5
1908,-17.24,9.63,9.8,5.77,-14.31,-1.1,-3.2,2.2,27.47,26.59,26.48,-1.32,-0.873,-0.672,phase5,phase5,phase4,-4.4,-1,4.4,2.3,1.1,phase5,phase5,phase4,phase5,phase5
1909,-35.18,12,-70.8,-5.64,23.18,19.1,9.9,9.4,26.59,26.22,25.9,-1.203,-1.5,-1.673,phase4,phase2,phase2,-3.1,-4.2,-1.2,-13.3,2.5,phase5,phase5,phase5,phase3,phase4
1910,-12.36,47.53,43.08,10.45,24.4,18.4,19,9.4,26.65,26.35,25.98,-1.985,-2.008,-1.65,phase4,phase2,phase2,5,15,10.3,4.3,1.1,phase5,phase4,phase2,phase2,phase5
1911,-15.51,-7.36,-62.64,-9.65,-12.62,-10.9,-11.9,-11.3,27.05,27.01,26.59,-1.556,-0.919,-0.05,phase1,phase1,phase1,2.6,0.7,2.1,1.3,-7.1,phase2,phase5,phase5,phase5,phase3
1912,-26.3,-15.92,29.91,2.83,-10.85,-6,-0.4,-7,27.44,27.12,26.48,-0.306,-0.58,-0.569,phase1,phase4,phase5,-10.3,-19,-8.9,-19.1,-11.5,phase3,phase3,phase1,phase3,phase1
